Movie,Genre,Age_raiting,Director,Producer,Sequel,Distributor,Screens,Release_date
PELUCAS Y ROKANROL,COMEDIA,Todos ,OTRO,OTRO,NO,PROCINAL,21--30,agosto
YO NO ME LLAMO RUBEN BLADES,COMEDIA,Todos,OTRO,OTRO,NO,CINECOLOR FILMS,21--30,septiembre
DOBLE,COMEDIA,Todos,FELIPE MARTINEZ,LA ESPERANZA PRODUCCIONES,NO,CINECOLOR FILMS,21--30,octubre
VIRUS TROPICAL,ANIMACION,Todos ,OTRO,OTRO,NO,CINE COLOMBIA,11--20,mayo
ADIOS ENTUSIASMO,DRAMA,Todos,OTRO,OTRO,NO,CINE COLOMBIA,11--20,julio
CANDELARIA,DRAMA,Doce,JHONNY HENDRIX HINESTROZA,ANTORCHA FILMS,NO,CINECOLOR FILMS,21--30,abril
WAJIB INVITACION DE BODA,DRAMA,Todos,OTRO,OTRO,NO,CINECOLOR FILMS,21--30,julio
DEMONIOS TUS OJOS,DRAMA,Dieciocho,OTRO,CIUDAD LUNAR PRODUCCIONES,NO,CINECOLOR FILMS,1--10,octubre
CIRO Y YO,DOCUMENTAL,Todos ,OTRO,LA ESPERANZA PRODUCCIONES,NO,CINE COLOMBIA,11--20,enero
NADIE NOS MIRA,DRAMA,Quince,OTRO,MADLOVE FILM FACTORY,NO,CINECOLOR FILMS,11--20,mayo
TRES ESCAPULARIOS,DRAMA,Quince,OTRO,OTRO,NO,BRUTAL,11--20,agosto
LA MUJER DE LOS 7 NOMBRES,DOCUMENTAL,Todos,OTRO,OTRO,NO,CINE COLOMBIA,11--20,agosto
YO LUCAS,DOCUMENTAL,Quince,OTRO,OTRO,NO,CINE COLOMBIA,11--20,septiembre
VIA CRUCIS,DRAMA,Todos ,HAROLD DE VASTEN,COMIN SUN FILMS,NO,ALTERNA VISTA,1--10,junio
ANGUSTIA,TERROR,Todos ,OTRO,OTRO,NO,CINECOLOR FILMS,1--10,agosto
COMO TE LLAMAS,DRAMA,Quince,OTRO,OTRO,NO,BRUTAL,1--10,noviembre
MY WAY OR THE HIGHWAY,DOCUMENTAL,Doce,OTRO,OTRO,NO,DOC CO,1--10,noviembre
EN DONDE ESTAN LOS LADRONES,FICCION,Todos,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,CINE COLOMBIA,141--150,abril
USTED NO SABE QUIEN SOY YO 2,FICCION,Todos,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,SI,CINE COLOMBIA,311--320,enero
AGENTE ÑERO ÑERO 7 COMANDO JUNGLA,FICCION,Todos,GABRIEL CASILIMAS,BLACK FILMS PRODUCCIONES,SI,DIAMOND FILMS,261--270,noviembre
AMAZONA,DOCUMENTAL,Todos,OTRO,CASATARANTULA,NO,CINE COLOMBIA,31--40,agosto
ARMERO,FICCION,Todos,CHRISTIAN MANTILLA,CHRISTIAN MANTILLA,NO,CINECOLOR FILMS,321--330,septiembre
CANCION DE IGUAQUE,FICCION,Todos,OTRO,OTRO,NO,BABILLA FILMS,1--10,noviembre
CASA POR CARCEL,FICCION,Doce,OTRO,HABIA UNA VEZ FILMS,NO,CINE COLOMBIA,41--50,abril
DE REGRESO AL COLEGIO,FICCION,Siete,OTRO,VERASUR FILMS,NO,CINECOLOR FILMS,61--70,agosto
EL CASO WATSON,FICCION,Todos,JAIME ESCALLON BURAGLIA,LULO FILMS,NO,CINE COLOMBIA,41--50,mayo
EL COCO 2,FICCION,Todos,JUAN CAMILO PINZON,DAGO GARCIA PRODUCCIONES,SI,CINE COLOMBIA,411--420,octubre
EL DIA DE LA CABRA,FICCION,Todos,OTRO,OTRO,NO,CINE COLOMBIA,11--20,noviembre
EL JUEGO DEL AHORCADO,FICCION,Quince,OTRO,OTRO,NO,PROCINAL,11--20,octubre
EL LIBRO DE LILA,ANIMACION,Todos,OTRO,OTRO,NO,CINECOLOR FILMS,161--170,septiembre
EL PAIS MAS FELIZ DEL MUNDO,FICCION,Todos,JAIME ESCALLON BURAGLIA,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,151--160,mayo
EL PASEO DE TERESA,FICCION,Todos,PATRICIA CARDOSO,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,301--310,diciembre
EL SILENCIO DE LOS FUSILES,DOCUMENTAL,Todos,OTRO,OTRO,NO,CINE COLOMBIA,31--40,julio
EMPELICULADOS,FICCION,Todos,OTRO,PROYECCION FILMS,NO,CINECOLOR FILMS,61--70,abril
EPIFANIA,FICCION,Siete,OTRO,CONTRAVIA FILMS,NO,CINEPLEX,11--20,noviembre
HUELLAS,FICCION,Todos,OTRO,OTRO,NO,PROCINAL,31--40,marzo
KEYLA,FICCION,Todos,OTRO,OTRO,NO,CINEPLEX,21--30,mayo
LA DEFENSA DEL DRAGON,FICCION,Todos,OTRO,OTRO,NO,CINE COLOMBIA,21--30,julio
LA MUJER DEL ANIMAL,FICCION,Dieciocho,OTRO,OTRO,NO,CINE COLOMBIA,51--60,marzo
LA SARGENTO MATACHO,FICCION,Quince,OTRO,OTRO,NO,CINEPLEX,31--40,septiembre
LOS ORIYINALES,FICCION,Todos,HAROLD TROMPETERO,TROMPETERO PRODUCCIONES,NO,CINECOLOR FILMS,151--160,enero
MAÑANA A ESTA HORA,FICCION,Doce,OTRO,BABILLA CINE ,NO,BABILLA FILMS,11--20,agosto
MARIPOSAS VERDES,FICCION,Quince,GUSTAVO NIETO ROA,OTRO,NO,CINECOLOR FILMS,71--80,julio
NADIE SABE PARA QUIEN TRABAJA,FICCION,Doce,HAROLD TROMPETERO,BIG BANG FILMS ,NO,CINECOLOR FILMS,281--290,diciembre
NOCHE HERIDA,DOCUMENTAL,Todos,OTRO,OTRO,NO,CINE COLOMBIA,21--30,marzo
OPERACION PIROBERTA,FICCION,Todos,RENE CASTELLANOS,OCHO Y MEDIOS COMUNICACIONES,NO,DIAMOND FILMS,151--160,marzo
PONER A ACTUAR PAJAROS,DOCUMENTAL,Doce,OTRO,OTRO,NO,PROCINAL,21--30,octubre
RICARDO QUEVEDO EL SHOW DE CEJAS POBLADAS,FICCION,Doce,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,DIAMOND FILMS,171--180,septiembre
SEÑORITA MARIA LA FALDA DE LA MONTAÑA,DOCUMENTAL,Todos,RUBEN MENDOZA,DIAFRAGMA FILMS,NO,CINE COLOMBIA,31--40,noviembre
SIETE CABEZAS,FICCION,Quince,JAIME OSORIO MARQUEZ,BURNING BLUE,NO,CINE COLOMBIA,31--40,octubre
SIN MOVER LOS LABIOS,FICCION,Dieciocho,CARLOS OSUNA,MALTA CINE,NO,BABILLA FILMS,11--20,junio
TALENTO MILLONARIO,FICCION,Todos,OTRO,YESHUA FILMS,NO,CINEPLEX,111--120,julio
UN CABALLO LLAMADO ELEFANTE,FICCION,Todos,OTRO,RHAYUELA,NO,BABILLA FILMS,41--50,marzo
UNA MUJER,FICCION,Dieciocho,OTRO,OTRO,NO,FRIC FRAC FILMS,1--10,junio
VIRGINIA CASTA,FICCION,Doce,CLAUDIO CATAÑO,EL CIRCO FILM,NO,CINECOLOR FILMS,21--30,julio
X QUINIENTOS,FICCION,Doce,JUAN ANDRES ARANGO ,OTRO,NO,CINECOLOR FILMS,21--30,mayo
EL COCO,FICCION,Siete,JUAN CAMILO PINZON,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,121--130,octubre
AGENTE ÑERO ÑERO 7,FICCION,Doce,GABRIEL CASILIMAS,BLACK FILMS PRODUCCIONES,NO,DIAMOND FILMS,191--200,noviembre
USTED NO SABE QUIEN SOY YO,FICCION,Siete,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,UIP,141--150,enero
EL PASEO 4,FICCION,Todos ,JUAN CAMILO PINZON,DAGO GARCIA PRODUCCIONES,SI,CINE COLOMBIA,151--160,diciembre
MALCRIADOS,FICCION,Siete,FELIPE MARTINEZ,DYNAMO,NO,CINECOLOR FILMS,111--120,abril
POLVO CARNAVALERO,FICCION,Todos ,JUAN CAMILO PINZON,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,121--130,mayo
