Movie,Genre,Age_raiting,Director,Producer,Sequel,Distributor,Screens,Release_date
ANTES DEL FUEGO,FICCION,Doce,LAURA MORA,LABERINTO CINE Y TELEVISION,NO,CINE COLOMBIA,21--30,agosto
ALIAS MARIA,FICCION,Doce,OTRO,RHAYUELA,NO,CINE COLOMBIA,11--20,noviembre
ULTIMO ALIENTO,FICCION,Todos,RENE CASTELLANOS,OCHO Y MEDIOS COMUNICACIONES,NO,VOCINES,11--20,mayo
PORRO HECHO EN COLOMBIA,DOCUMENTAL,Todos,OTRO,OTRO,NO,CINEPLEX,11--20,septiembre
EL ELEFANTE DESAPARECIDO,FICCION,Todos ,OTRO,DYNAMO,NO,CINE COLOMBIA,21--30,abril
ELLA,FICCION,Todos ,OTRO,OTRO,NO,CINE COLOMBIA,1--10,junio
RUIDO ROSA,FICCION,Todos ,OTRO,KYMERA PRODUCCIONES,NO,CINE COLOMBIA,11--20,abril
DETECTIVE MARAÑON,FICCION,Quince,OTRO,DYNAMO,NO,CINE COLOMBIA,21--30,noviembre
EL VIAJE DEL ACORDEON,DOCUMENTAL,Todos ,OTRO,CIUDAD LUNAR PRODUCCIONES,NO,CINE COLOMBIA,11--20,mayo
LAS TETAS DE MI MADRE,FICCION,Dieciocho,OTRO,OTRO,NO,BLACKVELVET,1--10,noviembre
VIOLENCIA,FICCION,Doce,OTRO,BURNING BLUE,NO,CINE COLOMBIA,11--20,octubre
SUAVE EL ALIENTO,FICCION,Doce,OTRO,OTRO,NO,CINEPLEX,1--10,octubre
SHAKESPEARE,FICCION,Todos ,DAGO GARCIA,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,1--10,abril
UN ASUNTO DE TIERRAS,DOCUMENTAL,Todos,PATRICIA AYALA RUIZ,PATHOS AUDIOVISUAL,NO,CINE COLOMBIA,1--10,agosto
PARADOR HUNGARO,DOCUMENTAL,Todos,OTRO,OTRO,NO,ROYAL FILMS,1--10,diciembre
UNO AL AÑO NO HACE DAÑO,FICCION,Todos ,JUAN CAMILO PINZON,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,251--260,diciembre
ENCERRADA,FICCION,Todos ,VICTOR GARCIA,PETER BLOCK,NO,CINECOLOR FILMS,101--110,junio
CIUDAD DELIRIO,FICCION,Quince,CHUS GUTIERREZ,64 A FILMS,NO,CINE COLOMBIA,61--70,abril
NOS VAMOS PAL MUNDIAL,FICCION,Todos ,FERNANDO AYLLON,TAKE ONE PRODUCTIONS,NO,UIP,61--70,abril
CARTA AL NIÑO DIOS,FICCION,Siete,JUAN CAMILO PINZON,DAGO GARCIA PRODUCCIONES,NO,CINE COLOMBIA,121--130,noviembre
TODAS PARA UNO,FICCION,Todos ,HAROLD TROMPETERO,TROMPETERO PRODUCCIONES,NO,CINECOLOR FILMS,91--100,enero
DEMENTAL,FICCION,Doce,DAVID BOHORQUEZ ,KATHERINE DIAZ,NO,CINECOLOR FILMS,31--40,agosto
DE ROLLING 2 POR EL SUEÑO MUNDIALISTA,FICCION,Siete,HAROLD TROMPETERO,TROMPETERO PRODUCCIONES,SI,CINECOLOR FILMS,81--90,mayo
SECRETO DE CONFESION,FICCION,Todos ,OTRO,OTRO,NO,BABILLA FILMS,31--40,mayo
ANINA,ANIMACION,Todos ,OTRO,ANTORCHA FILMS,NO,CINE COLOMBIA,61--70,enero
BOLAETRAPO,FICCION,Doce,GUILLERMO IVAN,VERASUR FILMS,NO,PROCINAL,31--40,marzo
LOS HONGOS,FICCION,Doce,OTRO,CONTRAVIA FILMS,NO,CINEPLEX,11--20,agosto
INFIERNO O PARAISO,DOCUMENTAL,Quince,OTRO,OTRO,NO,ROYAL FILMS,21--30,octubre
MATEO,FICCION,Doce,OTRO,DIAFRAGMA FILMS ,NO,CINEPLEX,21--30,agosto
MANOS SUCIAS,FICCION,Todos ,OTRO,OTRO,NO,CINE COLOMBIA,11--20,octubre
TIERRA EN LA LENGUA,FICCION,Quince,RUBEN MENDOZA,DIAFRAGMA FILMS ,NO,CINEPLEX,11--20,julio
JARDIN DE AMAPOLAS,FICCION,Doce,OTRO,OTRO,NO,ROYAL FILMS,1--10,diciembre
PETECUY,FICCION,Doce,OTRO,OTRO,NO,CINE COLOMBIA,11--20,diciembre
ESTRELLA QUIERO SER,FICCION,Quince,GUSTAVO NIETO ROA,OTRO,NO,PROCINAL,51--60,agosto
